t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
260,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,973023.938,66.2807312,6493.61328,986208.688,959213.5,5947.58887,971239.125,973023.938,966596.5,1848.43188,968132.062,968389.375,2308.1875,0.0155417919,978078.375,-2308.1875,-17.8089828
261,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,975796.625,72.162796,6831.14111,994614.5,959213.5,8320.65527,972837.625,975796.625,966596.5,2670.12964,968759.5,969681.25,9635.6875,0.0230368376,981875.125,-9635.6875,-3.71652985
262,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,978355.875,72.7846527,6769.01074,997387.062,959213.5,9979.08203,974712,978355.875,966596.5,3593.54492,969553.188,971307.125,1172,0.0270866156,984183.312,-1172,4.96076965
263,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,980279.688,69.6307831,6521.37598,997387.062,959910.125,10360.5156,976883.438,980279.688,966837.812,4421.79004,970530.625,973023.938,-2206.5625,0.0315887928,993819,2206.5625,6.79203033
264,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,981530.875,65.319397,6343.2998,997387.062,964950.188,10605.3457,978354.875,981530.875,966837.812,5116.52197,971573.938,975796.625,-3121.0625,0.0212574005,994991,3121.0625,7.48484039
265,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982359.438,62.7475624,6283.75586,997387.062,964950.188,10294.8125,979888.875,982359.438,966857.062,5626.42822,972682.562,978355.875,-1918.4375,0.0222264528,992784.438,1918.4375,5.96372223
266,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982860.375,60.5675163,6016.55029,997387.062,964950.188,9809.59277,981211.062,982860.375,966857.062,5950.41455,973819.688,980279.688,-1628.5,0.0191303492,989663.375,1628.5,3.54062653
267,0,0,9833.73828,0,1,1,0,0.0500000007,0.100000001,0.0799999982,0.5,982816.375,55.9569778,6024.98877,997387.062,965752.562,8897.50977,982369.125,982860.375,967351.188,6035.45312,974959.562,981530.875,-3586.1875,0.0167784691,987744.938,3586.1875,-1.25830841
268,-1,982038.938,9810.01367,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,983213.562,59.0159111,6377.35107,997387.062,965752.562,8298.44238,983457.125,983213.562,967808,5989.51465,976092.625,982359.438,3265.0625,0.0156942606,986116.438,-3265.0625,-4.49076843
269,-1,982038.938,9825.16797,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,983154.188,55.1891212,6405.95557,997387.062,965752.562,7591.39062,984277.938,983213.562,967808,5781.09863,977183.938,982860.375,-3026.875,0.0118302107,982530.25,3026.875,-8.46156311
270,-1,982038.938,9842.91211,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982630.25,51.0178146,6350.58398,997387.062,965752.562,6190.82764,985124.375,983213.562,968389.375,5304.66992,978242.688,982816.375,-3544,0.012250185,985795.312,3544,-16.9050598
271,-1,982038.938,9839.76953,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982259.875,51.7140579,6250.50635,997387.062,970815.25,5293.40869,985673.188,983213.562,969681.25,4623.37695,979233.5,983213.562,627.8125,0.00790405273,982768.438,-627.8125,-23.3403625
272,-1,982038.938,9810.94531,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982706.438,57.6575203,6242.854,997387.062,977064.312,4859.10205,986211.125,983213.562,971307.125,3854.08252,980163.875,983154.188,5756.875,0.00769948959,979224.438,-5756.875,-27.0173798
273,-1,982038.938,9812.4043,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,983054.625,57.2733383,5901.56982,997387.062,977064.312,4718.51953,986457.062,983213.562,973023.938,3023.854,981003,982630.25,-291.3125,0.00350618362,979852.25,291.3125,-28.0325241
274,-1,982038.938,9826.26953,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,982987.125,53.6160889,5961.38184,997387.062,977064.312,4792.98438,986340.438,983213.562,975796.625,2090.66772,981714.625,982259.875,-2769.25,-0.00166100264,985609.125,2769.25,-27.4868546
275,-1,982038.938,9875.40039,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,981620.25,43.1108627,6397.73828,997387.062,971612.625,5470.85693,984834.5,983213.562,978355.875,1302.62732,982130.625,982706.438,-9812.8125,-0.021214366,985317.812,9812.8125,-22.2081223
276,-1,982038.938,9898.35156,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,979824.438,39.2427444,6420.57373,995539.375,967087.562,6226.24121,982917.438,983213.562,979824.438,1023.69788,982235.5,983054.625,-4583.9375,-0.0269743204,982548.562,4583.9375,-16.8152695
