t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
186,1,984733.188,9902.16406,0,0,0,0,0.0299999993,0,0,0.75,42.8983002
187,1,984733.188,9880.78906,0,0,0,0,0.0299999993,0,0,0.75,40.6460419
188,1,984733.188,9905.61816,0,0,0,0,0.0299999993,0,0,0.75,44.3040962
189,1,984733.188,9918.53125,0,0,0,0,0.0299999993,0,0,0.75,46.1626396
190,1,984733.188,9943.98047,0,0,0,0,0.0299999993,0,0,0.75,49.7231026
191,1,984733.188,9937.84375,0,0,0,0,0.0299999993,0,0,0.75,48.8836098
192,1,984733.188,9877.61426,0,0,0,0,0.0299999993,0,0,0.75,41.4808388
193,1,984733.188,9849.13477,0,0,0,0,0.0299999993,0,0,0.75,38.5110931
194,1,984733.188,9884.04785,0,0,0,0,0.0299999993,0,0,0.75,43.8209724
195,1,984733.188,9901.57422,0,0,0,0,0.0299999993,0,0,0.75,46.3266945
196,1,984733.188,9880.0918,0,0,0,0,0.0299999993,0,0,0.75,43.7508736
197,1,984733.188,9802.30859,0,0,0,0,0.0299999993,0,0,0.75,35.9552536
198,1,984733.188,9794.68945,0,0,0,0,0.0299999993,0,0,0.75,35.2919006
199,1,984733.188,9805.12109,0,0,0,0,0.0299999993,0,0,0.75,37.0056343
200,1,984733.188,9840.55469,0,0,0,0,0.0299999993,0,0,0.75,42.5691414
201,1,984733.188,9815.91211,0,0,0,0,0.0299999993,0,0,0.75,39.9280434
202,1,984733.188,9809.96094,0,0,0,0,0.0299999993,0,0,0.75,39.294014
203,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,35.3021011
204,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,32.935318
205,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,34.4641151
206,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,33.8673706
207,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,32.1999359
208,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,33.5759087
209,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,31.8119259
210,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,31.991539
211,0,0,9756.5918,0,0,0,0,0.0299999993,0,0,0.75,28.059351
212,0,0,9756.5918,1,0,0,0,0.0299999993,0,0,0.75,39.0774689
213,1,951423.625,9767.5293,0,0,0,0,0.0299999993,0,0,0.75,43.001297
214,1,951423.625,9713.56836,0,0,0,0,0.0299999993,0,0,0.75,36.7276268
215,1,951423.625,9740.08887,0,0,0,0,0.0299999993,0,0,0.75,41.263279
216,1,951423.625,9709.3125,0,0,0,0,0.0299999993,0,0,0.75,37.870491
217,1,951423.625,9721.10156,0,0,0,0,0.0299999993,0,0,0.75,39.9087486
218,1,951423.625,9728.94336,0,0,0,0,0.0299999993,0,0,0.75,41.2883415
219,1,951423.625,9726.64746,0,0,0,0,0.0299999993,0,0,0.75,40.9916649
